gene_id	C2UT01.1	C3UT02.1	C3UT02.2	C4UT03.1	C4UT03.2	C6TR01.1	C6TR01.2	C7TR02.1	C7TR02.2	C8TR03.1	C8TR03.2
DDX11L1	0	0	0	0	0	0	0	0	0	0	0
WASH7P	254	41	161	66	212	51	211	63	216	47	198
MIR6859-1	5	0	0	0	1	0	0	2	1	0	1
MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	2
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	0	0	0	0	0	0	0	0	0	0
LOC124900384	2	0	0	2	2	0	0	0	0	0	0
LOC729737	3	0	1	0	2	1	2	2	1	0	2
LOC124903814	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	0	0	0	0	0	0	0	0	0	2
WASH9P	270	58	206	70	254	65	197	55	203	58	207
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	3	0	1	0	5	0	2	3	0	1	1
LOC124903815	0	0	0	0	0	0	0	0	0	0	0
LOC124900618	0	0	0	0	0	0	0	0	0	0	0
LOC112268260	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	1	0	1	0	0	0	1	0	0	0	0
LOC124904706	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0
MIR12136	1	1	0	0	0	1	0	1	0	1	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0
LOC100288069	130	25	113	32	108	24	119	25	103	12	91
LINC01409	10	1	3	1	2	2	6	0	7	0	1
LOC124903817	7	0	5	2	8	4	3	0	2	0	5
FAM87B	4	0	1	0	2	1	3	1	3	0	2
LINC00115	17	2	3	2	9	1	7	5	6	1	27
LINC01128	97	15	53	18	71	15	76	22	59	19	74
LOC107984850	1	0	0	0	0	0	0	0	0	0	0
FAM41C	0	0	0	0	0	0	0	1	0	1	0
LOC284600	3	0	1	0	5	1	3	0	8	0	0
LINC02593	0	0	0	0	0	0	0	0	0	0	0
LOC107985728	0	0	0	0	0	0	0	0	0	0	1
SAMD11	2	0	0	0	1	0	2	0	1	0	0
NOC2L	1271	252	665	205	796	204	834	222	747	204	855
KLHL17	312	64	196	83	262	41	230	62	297	60	263
PLEKHN1	153	28	92	37	156	42	170	39	163	30	168
PERM1	2	0	0	0	2	1	5	0	1	1	5
HES4	470	78	256	69	311	80	319	88	291	108	384
ISG15	151	16	61	24	102	19	101	19	116	39	153
AGRN	7282	1314	4141	1699	7067	1744	6798	1900	6355	1654	7511
LOC100288175	132	35	94	33	103	27	125	33	96	28	115
LOC105378948	14	6	11	1	15	4	18	5	22	0	20
RNF223	12	2	8	7	26	7	13	2	9	5	24
C1orf159	201	33	143	34	173	38	169	50	167	23	154
LOC124903819	30	5	25	5	25	5	30	3	7	4	22
LOC124903820	5	1	3	0	2	2	2	0	0	0	15
LINC01342	6	0	1	0	7	0	3	1	5	0	1
LOC124903818	268	44	141	40	196	42	166	45	165	51	136
MIR200B	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0
